Step,Veh_ID,Latitud,Longitud,Vel_SUMO_kmh,Vel_Usada_kmh,Vel_Real_kmh,Error_kmh,CO2_mg_s,X,Y
0,veh_30,-0.3467427777777778,-78.45942222222222,9.360000000000001,34.38514494895935,39.0,-4.614855051040649,4326.9573464000005,12553.19751720115,10650.632464344897
1,veh_28,-0.3330072222222222,-78.43541333333333,9.360000000000001,12.770726203918455,7.0,5.770726203918455,4326.9573464000005,15225.20884146484,12173.162659674423
2,veh_16,-0.3777972222222222,-78.50294222222222,9.360000000000001,12.297417879104614,16.0,-3.7025821208953857,4326.9573464000005,7705.603144092296,7215.495081988013
3,veh_23,-0.3837672222222222,-78.50732444444445,9.360000000000001,14.570415496826172,13.0,1.5704154968261719,4326.9573464000005,7216.4439435083295,6555.646499524072
4,veh_12,-0.3327483333333333,-78.43503111111112,9.360000000000001,28.31741237640381,24.0,4.317412376403809,4326.9573464000005,15269.476873888572,12200.5005774867
5,veh_7,-0.3993044444444444,-78.53203555555555,4.369525909423828,4.369525909423828,0.0,4.369525909423828,2585.1597500730018,4463.862342747371,4834.396809336068
6,veh_26,-0.3327766666666666,-78.43451555555555,9.360000000000001,23.532684087753296,24.0,-0.4673159122467041,4326.9573464000005,15328.141468060236,12198.15057340301
7,veh_5,-0.3443294444444444,-78.45484444444445,9.360000000000001,26.361563205718998,20.0,6.361563205718998,4326.9573464000005,13062.348973808454,10916.768723336334
8,veh_14,-0.368025,-78.47709333333333,9.360000000000001,30.76978588104248,29.0,1.7697858810424805,4326.9573464000005,10582.171109189769,8297.814128390171
9,veh_16,-0.3784016666666667,-78.50474666666666,9.360000000000001,29.727170944213867,28.0,1.7271709442138672,4326.9573464000005,7503.691569958393,7147.235817495805
10,veh_19,-0.3414444444444444,-78.44947555555555,9.360000000000001,16.46700417995453,21.0,-4.532995820045471,4326.9573464000005,13655.748007690341,11232.927498158228
11,veh_7,-0.3774194444444444,-78.50643555555556,13.729525909423828,25.62307286262512,28.0,-2.3769271373748815,4838.067988667787,7316.07697160812,7256.604923074095
12,veh_19,-0.3341116666666666,-78.44156444444444,9.360000000000001,13.671642184257507,14.0,-0.3283578157424927,4326.9573464000005,14541.590228768899,12047.337169221242
