Nº,Fecha y Hora de Registro,Velocidad (Km/h),Latitud,Longitud,FechaHora,Dia,delta_t_s,delta_v,delta_lat,delta_lon,Vel_Pred_kmh
24,2025-12-19 06:13:18,49.0,-0.3758,-78.49806222222222,2025-12-19 06:13:18,2025-12-19,2.19722457733622,0.6666666666666679,-0.001,-0.001,54.73129057884216
14,2025-12-19 06:13:21,21.0,-0.3903622222222222,-78.52541333333333,2025-12-19 06:13:21,2025-12-19,1.3862943611198906,1.0,-0.001,-0.001,22.391748189926147
24,2025-12-19 06:13:30,16.0,-0.3875644444444444,-78.5234488888889,2025-12-19 06:13:30,2025-12-19,2.302585092994046,2.0,0.001,0.001,13.275732159614563
18,2025-12-19 06:13:33,55.0,-0.3200733333333333,-78.44235555555555,2025-12-19 06:13:33,2025-12-19,1.3862943611198906,-1.3333333333333357,0.001,0.001,56.834566593170166
17,2025-12-19 06:13:41,17.0,-0.3854194444444444,-78.50915555555555,2025-12-19 06:13:41,2025-12-19,2.19722457733622,14.333333333333332,-0.001,-0.001,15.19941520690918
8,2025-12-19 06:13:53,59.0,-0.3171605555555555,-78.44215111111112,2025-12-19 06:13:53,2025-12-19,2.5649493574615367,-2.0,0.001,0.001,52.31140577793121
6,2025-12-19 06:13:58,49.0,-0.3755044444444444,-78.49349333333333,2025-12-19 06:13:58,2025-12-19,1.791759469228055,11.666666666666671,-0.001,-0.001,55.61393761634827
26,2025-12-19 06:14:28,52.0,-0.3737583333333333,-78.49008,2025-12-19 06:14:28,2025-12-19,3.4339872044851463,-19.66666666666667,0.001,0.001,41.12859380245209
13,2025-12-19 06:14:42,0.0,-0.315325,-78.44203555555555,2025-12-19 06:14:42,2025-12-19,2.70805020110221,3.666666666666672,0.001,0.001,-7.2293901443481445
8,2025-12-19 06:15:36,60.0,-0.3281061111111111,-78.43746666666667,2025-12-19 06:15:36,2025-12-19,4.007333185232471,-2.333333333333336,-0.001,0.001,53.4974867105484
22,2025-12-19 06:15:37,45.0,-0.4039616666666666,-78.53768,2025-12-19 06:15:37,2025-12-19,0.6931471805599453,6.666666666666664,-0.001,-0.001,52.8973925113678
5,2025-12-19 06:15:42,20.0,-0.3923372222222222,-78.52690666666666,2025-12-19 06:15:42,2025-12-19,1.791759469228055,-12.333333333333332,0.001,0.001,17.408390641212463
25,2025-12-19 06:15:56,23.0,-0.3382322222222222,-78.44496,2025-12-19 06:15:56,2025-12-19,2.70805020110221,-4.333333333333332,0.001,0.001,20.3698490858078
13,2025-12-19 06:15:58,32.0,-0.3707638888888889,-78.48414222222222,2025-12-19 06:15:58,2025-12-19,1.0986122886681098,-2.333333333333332,-0.001,-0.001,31.597500562667847
13,2025-12-19 06:17:02,13.0,-0.3346066666666666,-78.44177777777777,2025-12-19 06:17:02,2025-12-19,4.174387269895637,-2.333333333333336,0.001,0.001,23.783166885375977
5,2025-12-19 06:17:37,16.0,-0.3883077777777777,-78.52402666666667,2025-12-19 06:17:37,2025-12-19,3.58351893845611,-1.0,-0.001,-0.001,9.437739610671997
8,2025-12-19 06:17:40,29.0,-0.3904127777777778,-78.52036444444444,2025-12-19 06:17:40,2025-12-19,1.3862943611198906,6.333333333333336,-0.001,0.001,35.362890005111694
1,2025-12-19 06:18:01,32.0,-0.3339444444444444,-78.44121777777778,2025-12-19 06:18:01,2025-12-19,3.091042453358316,13.333333333333332,0.001,0.001,40.47743272781372
26,2025-12-19 06:18:25,56.0,-0.3899505555555556,-78.51952,2025-12-19 06:18:25,2025-12-19,3.218875824868201,2.6666666666666643,-0.001,-0.001,54.69548797607422
17,2025-12-19 06:18:26,37.0,-0.3338955555555555,-78.4396,2025-12-19 06:18:26,2025-12-19,0.6931471805599453,1.6666666666666714,0.001,0.001,30.867656588554382
29,2025-12-19 06:18:42,37.0,-0.3858538888888889,-78.52221333333334,2025-12-19 06:18:42,2025-12-19,2.833213344056216,-0.6666666666666714,-0.001,-0.001,31.025429487228394
28,2025-12-19 06:19:10,54.0,-0.4066622222222222,-78.54282666666667,2025-12-19 06:19:10,2025-12-19,3.367295829986474,-10.0,-0.001,-0.001,51.816980481147766
12,2025-12-19 06:19:20,7.0,-0.3383716666666667,-78.44510222222222,2025-12-19 06:19:20,2025-12-19,2.3978952727983707,-9.999999999999996,0.001,0.001,1.6924769878387451
18,2025-12-19 06:19:35,7.0,-0.2955244444444444,-78.46194666666666,2025-12-19 06:19:35,2025-12-19,2.772588722239781,-12.666666666666668,0.001,-0.001,-3.987905263900757
10,2025-12-19 06:19:43,16.0,-0.3680833333333333,-78.47718222222223,2025-12-19 06:19:43,2025-12-19,2.19722457733622,3.0,-0.001,-0.001,23.48373508453369
8,2025-12-19 06:19:48,16.0,-0.3679305555555555,-78.47704,2025-12-19 06:19:48,2025-12-19,1.791759469228055,14.0,0.0001527777777778,0.0001422222222231,20.290812015533447
16,2025-12-19 06:20:05,49.0,-0.4119016666666666,-78.54672,2025-12-19 06:20:05,2025-12-19,2.8903717578961645,6.333333333333336,-0.001,-0.001,56.223525047302246
